Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Ladd McConkey 2024 Optic #266 Blue Hyper","Raw","-96.27","-$38.41","$39.90","$1.49 (02/06/2026)","$4.21","$0.99","$39.90","0.00","369","$1552.64"
"Bronny James Jr. 2024 Prizm #243 Skewed","Raw","-96.25","-$57.75","$60.00","$2.25 (01/22/2026)","$27.20","$0.99","$60.00","0.00","52","$1414.53"
"Bronny James Jr. 2024 Select #179 Premier Level White Wave","Raw","-96.19","-$25.01","$26.00","$0.99 (02/01/2026)","$11.83","$0.99","$26.00","0.00","16","$189.21"
"Ashton Jeanty 2024 Bowman Chrome University #17 Aqua Mini-Diamond Refractor (1st)","Raw","-96.19","-$25.01","$26.00","$0.99 (12/03/2025)","$26.62","$0.99","$46.43","162.50","21","$559.01"
"Blake Corum 2024 Prizm #308 Rookie Autographs - Pink","Raw","-96.19","-$25.01","$26.00","$0.99 (01/27/2026)","$16.66","$0.99","$26.00","1333.33","43","$716.42"
"Xavier Worthy 2024 Donruss #398 Optic Preview - Pink","Raw","-96.19","-$25.01","$26.00","$0.99 (01/06/2026)","$3.29","$0.99","$26.00","7033.33","428","$1407.08"
"Ollie Gordon II 2024 Bowman Chrome University Sapphire Edition #197 Orange (1st)","Raw","-96.16","-$24.77","$25.76","$0.99 (01/18/2026)","$20.95","$0.99","$40.00","400.00","5","$104.73"
"Abdul Carter 2025 Score #16 Red","Raw","-96.15","-$25.00","$26.00","$1.00 (01/21/2026)","$4.45","$0.99","$26.00","0.00","32","$142.55"
"Zach Wilson 2021 Prizm #332 Neon Green Pulsar","PSA 10","-96.15","-$31.25","$32.50","$1.25 (01/20/2026)","$14.43","$1.25","$32.50","175.00","11","$158.72"
"Dalton Knecht 2024 Prizm #6 Prizmania","Raw","-96.15","-$1923.00","$2000.00","$77.00 (02/03/2026)","$523.60","$55.00","$2000.00","0.00","14","$7330.40"
"Victor Wembanyama 2024 Prizm #20 Kaleidoscopic","Raw","-96.14","-$87.26","$90.76","$3.50 (02/05/2026)","$4.84","$0.99","$90.76","0.00","218","$1054.99"
"Nolan Traore 2025 Topps #C25-19 Class of 2025","Raw","-96.10","-$49.01","$51.00","$1.99 (02/05/2026)","$18.93","$1.99","$51.00","0.00","26","$492.27"
"Cam Whitmore 2023 Prizm #129 Red Seismic","Raw","-96.10","-$39.40","$41.00","$1.60 (01/22/2026)","$20.98","$1.60","$41.00","-68.75","5","$104.90"
"Jaylen Wells 2024 Select #188 Premier Level Light Blue","Raw","-96.04","-$24.01","$25.00","$0.99 (01/21/2026)","$6.00","$0.99","$25.00","0.00","45","$269.89"
"Anthony Richardson 2023 Select #43 Concourse Red","Raw","-96.04","-$24.01","$25.00","$0.99 (12/27/2025)","$10.98","$0.99","$25.00","50.00","6","$65.87"
"Dalton Knecht 2024 Prizm #238 Ice","Raw","-96.04","-$24.01","$25.00","$0.99 (02/01/2026)","$5.31","$0.99","$25.00","0.00","166","$882.22"
"Jayden Daniels 2024 Mosaic #272 NFL Debut","SGC 9.5","-96.04","-$24.01","$25.00","$0.99 (12/31/2025)","$13.61","$0.99","$26.00","800.00","27","$367.49"
"Ace Bailey 2025 Topps Holiday #FF-AB Frostbite Finishers","Raw","-96.04","-$24.01","$25.00","$0.99 (02/03/2026)","$13.82","$0.99","$30.00","0.00","14","$193.54"
"Jeremiah Owusu-Koramoah 2021 Contenders #171 Rookie Ticket Auto","Raw","-96.04","-$24.01","$25.00","$0.99 (12/07/2025)","$9.39","$0.99","$25.00","-55.17","13","$122.10"
"Angel Reese 2024 Prizm WNBA #10 Green","Raw","-96.04","-$24.01","$25.00","$0.99 (02/06/2026)","$5.20","$0.99","$25.00","0.00","273","$1418.83"
"Jayden Daniels 2024 Optic #2 Passing Grade","Raw","-96.04","-$24.00","$24.99","$0.99 (02/05/2026)","$3.66","$0.99","$25.00","0.00","750","$2742.68"
"Jaylen Wells 2024 Prizm Black #34 Silver","Raw","-96.04","-$24.00","$24.99","$0.99 (01/18/2026)","$4.16","$0.99","$24.99","0.00","32","$133.01"
"Brian Thomas Jr. 2024 Phoenix #164 Blue Fade","Raw","-96.04","-$24.00","$24.99","$0.99 (01/04/2026)","$7.70","$0.99","$24.99","0.00","15","$115.46"
