Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Mosaic #282 City Edition","Raw","1046.95","$14.61","$1.40","$16.00 (02/16/2026)","$3.56","$0.99","$16.00","20.00","30","$106.93"
"Henry Ruggs III 2020 Mosaic #205 Silver","Raw","445.07","$6.93","$1.56","$8.48 (02/16/2026)","$7.07","$0.99","$20.00","138.46","31","$219.19"
"Henry Ruggs III 2020 Mosaic #205 Base","Raw","445.07","$6.93","$1.56","$8.48 (02/16/2026)","$7.07","$0.99","$20.00","138.46","31","$219.19"
"Yoshinobu Yamamoto 2024 Topps Update #US149 Rookie Debut","Raw","375.05","$9.47","$2.52","$11.99 (02/16/2026)","$2.06","$0.99","$15.95","281.25","61","$125.75"
"Michael Jordan 1992 Fleer Ultra #27 Base","Raw","300.00","$12.00","$4.00","$16.00 (02/16/2026)","$5.59","$0.99","$18.99","-10.53","34","$190.13"
"Nate George 2025 Bowman Chrome #BCP-184 Prospects (1st)","Raw","249.16","$5.91","$2.37","$8.28 (02/16/2026)","$3.77","$1.50","$15.00","728.57","58","$218.90"
"Eric Dickerson 1984 Topps #280 Base","Raw","237.15","$7.11","$3.00","$10.11 (02/15/2026)","$9.47","$1.25","$20.00","57.14","33","$312.64"
"Shedeur Sanders 2025 Optic #203 Base","Raw","228.47","$3.13","$1.37","$4.50 (02/16/2026)","$2.94","$0.99","$20.00","5.71","37","$108.64"
"Jayden Daniels 2024 Select #26 Concourse","Raw","203.03","$2.01","$0.99","$3.00 (02/16/2026)","$1.84","$0.99","$6.50","0.00","33","$60.58"
"VJ Edgecombe 2025 Topps #203 Base","Raw","200.15","$3.48","$1.74","$5.21 (02/16/2026)","$2.46","$0.99","$20.99","10.14","76","$186.71"
"Piplup 2025 Japanese Mega: Inferno X #85/80 Art Rare","Raw TCG (Near Mint)","196.62","$18.17","$9.24","$27.41 (02/16/2026)","$10.42","$1.76","$95.00","23.08","32","$333.33"
"Drake Maye 2024 Select #5 Select Future","Raw","170.78","$2.79","$1.63","$4.42 (02/16/2026)","$2.77","$0.99","$24.57","-47.62","44","$121.77"
