Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Nikola Jokic 2025 Topps Chrome #25 Image Variation","Raw","378.36","$16.61","$4.39","$21.00 (02/07/2026)","$18.27","$4.39","$25.00","-30.00","7","$127.87"
"Jaxon Smith-Njigba 2023 Illusions #91 Trophy Collection Emerald","Raw","372.36","$5.12","$1.38","$6.50 (02/07/2026)","$3.40","$1.25","$11.00","-72.22","5","$17.02"
"Michael Jordan 1995 Upper Deck #137 Rookie Years","Raw","369.73","$11.81","$3.19","$15.00 (02/07/2026)","$4.08","$0.99","$15.00","-23.08","10","$40.85"
"Michael Jordan 1992 Upper Deck #67 MVP","Raw","363.38","$12.15","$3.35","$15.50 (02/07/2026)","$4.46","$0.99","$22.00","41.18","24","$107.12"
"Michael Jordan 1991 Skybox #572 Salutes","Raw","357.60","$11.72","$3.28","$15.00 (02/07/2026)","$4.28","$1.99","$15.00","87.50","15","$64.16"
"Tony Dorsett 1978 Topps #315 Base","Raw","356.35","$17.96","$5.04","$23.00 (02/06/2026)","$12.51","$5.00","$23.00","-20.00","12","$150.08"
"Ja'Marr Chase 2021 Donruss #262 Base","Raw","350.00","$7.00","$2.00","$9.00 (02/06/2026)","$7.85","$1.80","$20.00","-50.00","8","$62.78"
"Caitlin Clark 2024 Panini Instant WNBA #10 Base (Print Run: 5,540)","Raw","346.36","$19.05","$5.50","$24.55 (02/07/2026)","$19.23","$5.50","$24.55","200.00","6","$115.39"
"Kenneth Walker III 2022 Donruss #318 Base","Raw","341.00","$6.82","$2.00","$8.82 (02/07/2026)","$4.76","$1.25","$15.00","-41.67","7","$33.30"
"Michael Jordan 1993 Skybox Premium #45 Base","Raw","333.08","$7.19","$2.16","$9.35 (02/07/2026)","$3.17","$0.99","$16.19","3.85","27","$85.46"
"Russell Wilson 2012 Topps #165 Base","Raw","330.77","$5.38","$1.63","$7.00 (02/05/2026)","$2.67","$0.99","$7.00","-62.50","6","$15.99"
"Rome Odunze 2024 Prizm #385 Lazer","Raw","329.00","$3.29","$1.00","$4.29 (02/07/2026)","$2.60","$0.99","$4.29","80.00","9","$23.39"
"Brock Bowers 2024 Donruss #394 Optic Preview - Pink","Raw","328.57","$11.50","$3.50","$15.00 (02/07/2026)","$6.64","$2.99","$15.00","16.67","7","$46.49"
"Jayden Higgins 2025 Prizm #376 White Disco","Raw","325.00","$6.50","$2.00","$8.50 (02/07/2026)","$3.36","$1.75","$8.50","10.00","11","$36.97"
"LeBron James 2024 Prizm #130 Base","Raw","324.56","$5.86","$1.80","$7.66 (02/07/2026)","$3.11","$0.99","$20.00","59.09","35","$109.02"
"Quinn Ewers 2025 Donruss #342 Base","Raw","318.25","$3.18","$1.00","$4.18 (02/06/2026)","$5.78","$0.99","$21.76","0.00","7","$40.48"
"Will Howard 2025 Donruss #15 Rated Rookies Retro","Raw","317.97","$3.36","$1.06","$4.42 (02/07/2026)","$2.09","$0.99","$10.00","0.00","15","$31.37"
"Zach Charbonnet 2023 Optic #294 Base","Raw","316.67","$4.75","$1.50","$6.25 (02/05/2026)","$4.67","$1.00","$20.00","20.00","6","$28.00"
"Brett Favre 1991 Upper Deck #13 Base","PSA 9","316.50","$18.99","$6.00","$24.99 (02/07/2026)","$18.77","$6.00","$24.99","400.00","5","$93.85"
"Michael Penix Jr. 2024 Optic #279 Blue Hyper","Raw","316.16","$3.13","$0.99","$4.12 (02/06/2026)","$3.86","$0.99","$7.00","-25.00","6","$23.18"
"Malik Willis 2022 Prizm #303 Base","Raw","315.38","$5.13","$1.63","$6.75 (02/07/2026)","$2.79","$1.00","$6.75","-86.27","7","$19.51"
"Colston Loveland 2025 Mosaic #304 Reactive Purple","Raw","312.03","$4.93","$1.58","$6.51 (02/07/2026)","$4.73","$1.58","$6.79","-16.67","5","$23.63"
"Bo Nix 2024 Prizm #23 Fireworks - Green Wave","Raw","309.09","$3.06","$0.99","$4.05 (02/07/2026)","$5.82","$0.99","$15.00","-25.00","6","$34.89"
"Jayden Daniels 2024 Optic #1 Play Action","Raw","304.04","$3.01","$0.99","$4.00 (02/06/2026)","$1.77","$0.99","$4.00","0.00","5","$8.87"
"Drake Maye 2024 Score #303 Green","Raw","303.53","$6.02","$1.98","$8.00 (02/06/2026)","$3.79","$1.25","$8.59","-36.36","7","$26.52"
"Giannis Antetokounmpo 2025 Topps #54 Blackout Variation","Raw","302.68","$4.51","$1.49","$6.00 (02/07/2026)","$2.45","$0.99","$6.00","150.00","5","$12.26"
"Cade Cunningham 2021 Select #11 Concourse Blue Shimmer","Raw","302.01","$6.01","$1.99","$8.00 (02/06/2026)","$7.33","$1.99","$10.48","0.00","6","$43.98"
"Harold Fannin Jr. 2025 Optic #284 Holo","Raw","300.80","$3.76","$1.25","$5.01 (02/06/2026)","$2.94","$1.25","$5.01","50.00","6","$17.64"
"Jayden Daniels 2024 Donruss #WH8 White Hot Rookies","Raw","298.00","$5.80","$1.95","$7.75 (02/05/2026)","$3.52","$0.99","$9.99","66.67","10","$35.20"
"Walter Payton 1981 Topps #202 Super Action","Raw","290.99","$7.75","$2.66","$10.41 (02/07/2026)","$5.89","$0.99","$17.99","16.67","7","$41.23"
"Jared Verse 2024 Optic #242 Green Hyper","Raw","290.00","$2.90","$1.00","$3.90 (02/07/2026)","$1.81","$1.00","$3.90","25.00","5","$9.05"
"Caleb Williams 2024 Prizm #1 Emergent","Raw","288.92","$4.69","$1.63","$6.32 (02/07/2026)","$3.11","$0.99","$18.99","-50.00","12","$37.29"
"Sam Darnold 2018 Contenders Draft Picks #1 School Colors","Raw","282.85","$3.88","$1.37","$5.25 (02/07/2026)","$2.84","$0.99","$8.99","0.00","5","$14.22"
"Caitlin Clark 2024 Panini Instant WNBA #1 Base (Print Run: 8,646)","Raw","276.47","$11.75","$4.25","$16.00 (02/07/2026)","$9.94","$3.25","$16.98","200.00","9","$89.49"
"Rhamondre Stevenson 2021 Prizm #367 Silver","Raw","272.49","$4.75","$1.75","$6.50 (02/06/2026)","$4.42","$0.99","$7.00","-54.55","5","$22.11"
"Sam LaPorta 2023 Prizm #332 Silver","Raw","270.37","$3.65","$1.35","$5.00 (02/07/2026)","$6.54","$1.35","$14.25","200.00","9","$58.84"
"Bo Jackson 1988 Topps #325 Team Leaders","Raw","264.99","$4.21","$1.59","$5.80 (02/07/2026)","$3.49","$0.99","$8.72","166.67","16","$55.87"
"Anthony Edwards 2020 Hoops #216 Base","Raw","260.50","$7.82","$3.00","$10.82 (02/07/2026)","$3.65","$0.99","$18.12","-27.78","13","$47.48"
"Ace Bailey 2025 Topps #RTS-5 Rise to Stardom","Raw","259.46","$2.88","$1.11","$3.99 (02/06/2026)","$1.73","$0.99","$3.99","66.67","5","$8.63"
"Alonzo Mourning 1994 Skybox Emotion #N6 N-Tense","Raw","257.89","$12.25","$4.75","$17.00 (02/06/2026)","$11.63","$4.75","$17.00","25.00","5","$58.13"
"Bo Nix 2024 Prizm #23 Fireworks - Green","Raw","256.57","$2.54","$0.99","$3.53 (02/07/2026)","$3.93","$0.99","$6.99","-40.00","6","$23.57"
"Justin Herbert 2020 Select #144 Premier Level","Raw","254.52","$4.85","$1.90","$6.75 (02/06/2026)","$3.25","$0.99","$11.00","80.00","9","$29.27"
"JJ McCarthy 2024 Select #24 Concourse Silver Die-Cut","Raw","253.54","$2.51","$0.99","$3.50 (02/07/2026)","$2.33","$0.99","$5.00","20.00","6","$13.98"
"Cameron Brink 2024 Prizm WNBA #143 Rookie Variation - Ice","Raw","253.41","$10.77","$4.25","$15.02 (02/04/2026)","$10.38","$4.25","$15.02","-45.45","6","$62.25"
"Victor Wembanyama 2023 Hoops #1 Rookie Greetings","Raw","251.25","$14.02","$5.58","$19.60 (02/07/2026)","$5.62","$2.00","$19.60","25.00","10","$56.21"
"Anthony Edwards 2020 Select #61 Concourse","Raw","251.20","$3.14","$1.25","$4.39 (02/07/2026)","$2.48","$1.25","$4.39","120.00","11","$27.23"
"Travis Hunter 2025 Donruss #3 The Rookies","Raw","250.17","$5.05","$2.02","$7.07 (02/07/2026)","$2.60","$0.99","$18.50","-20.00","16","$41.53"
"Charles Barkley 1988 Fleer #85 Base","Raw","249.90","$8.75","$3.50","$12.25 (02/07/2026)","$4.90","$0.99","$21.99","70.00","17","$83.29"
"Tim Duncan 1997 Hoops #166 Base","Raw","246.97","$2.45","$0.99","$3.44 (02/07/2026)","$2.53","$0.99","$6.99","62.50","13","$32.85"
"Shaquille O'Neal 1993 Fleer Ultra #13 Famous Nicknames","Raw","239.89","$7.40","$3.08","$10.48 (02/07/2026)","$4.18","$0.99","$10.48","14.29","8","$33.43"
"Kyle Monangai 2025 Prizm #348 Base","Raw","235.71","$4.13","$1.75","$5.88 (02/07/2026)","$3.12","$0.99","$9.50","12.50","18","$56.22"
"Jaxon Smith-Njigba 2023 Select #87 Concourse Silver","Raw","235.57","$3.51","$1.49","$5.00 (02/04/2026)","$3.99","$0.99","$9.50","-50.00","8","$31.89"
"Puka Nacua 2023 Optic #4 Rookie Primary Colors","Raw","235.56","$4.24","$1.80","$6.04 (02/07/2026)","$2.29","$0.99","$6.04","66.67","5","$11.45"
"Barry Sanders 1991 Fleer #2 Pro-Visions","Raw","233.56","$7.00","$3.00","$9.99 (02/07/2026)","$4.39","$0.99","$9.99","0.00","7","$30.71"
"Jase Richardson 2025 Topps Chrome #AD-15 Advisory","Raw","233.33","$14.00","$6.00","$20.00 (02/06/2026)","$14.30","$6.00","$20.00","900.00","10","$142.99"
"Jaxson Dart 2025 Mosaic #20 Men of Mastery","Raw","232.79","$4.26","$1.83","$6.09 (02/07/2026)","$4.24","$0.99","$18.43","8.33","13","$55.11"
"Shai Gilgeous-Alexander 2025 Topps #115 Blackout Variation","Raw","232.18","$5.35","$2.31","$7.66 (02/06/2026)","$3.80","$0.99","$9.99","250.00","14","$53.25"
"DeMar DeRozan 2009 Topps #320 Base","Raw","231.82","$2.29","$0.99","$3.29 (02/07/2026)","$4.51","$0.99","$14.99","700.00","8","$36.06"
"Ashton Jeanty 2025 Donruss #ESR-AJY The Elite Series Rookies","Raw","228.28","$2.26","$0.99","$3.25 (02/07/2026)","$1.72","$0.99","$3.25","-30.00","7","$12.02"
"Nick Emmanwori 2025 Prizm #320 Base","Raw","228.28","$2.26","$0.99","$3.25 (02/07/2026)","$2.26","$0.99","$6.00","11.11","10","$22.64"
"Sam Leavitt 2025 Prizm Draft Picks #6 Gold Ice","Raw","228.28","$2.26","$0.99","$3.25 (02/07/2026)","$1.70","$0.99","$3.25","-25.00","6","$10.19"
"Ashton Jeanty 2025 Mosaic #287 Rookie Variation - Silver","Raw","227.78","$2.25","$0.99","$3.25 (02/05/2026)","$2.65","$0.99","$5.00","0.00","10","$26.47"
"Shedeur Sanders 2025 Optic #20 Hidden Potential","Raw","224.25","$2.24","$1.00","$3.24 (02/04/2026)","$2.79","$0.99","$4.99","150.00","5","$13.97"
"Nolan Traore 2025 Topps #C25-19 Class of 2025","Raw","223.53","$9.50","$4.25","$13.75 (02/07/2026)","$9.35","$1.99","$18.00","700.00","8","$74.79"
"Cam Ward 2025 Prizm Draft Picks #57 Base","Raw","223.21","$2.50","$1.12","$3.62 (02/04/2026)","$2.12","$0.99","$3.62","25.00","5","$10.61"
"Joe Burrow 2020 Select #46 Concourse","Raw","222.58","$6.90","$3.10","$10.00 (02/07/2026)","$3.63","$0.99","$10.00","-30.00","7","$25.44"
"Kevin Garnett 1995 Topps #237 Base","Raw","221.29","$5.51","$2.49","$8.00 (02/06/2026)","$3.12","$1.99","$8.00","16.67","7","$21.81"
"Caleb Williams 2024 Illusions #13 Trophy Collection Orange","Raw","220.36","$10.28","$4.67","$14.95 (02/06/2026)","$5.38","$2.00","$14.95","-20.00","8","$43.01"
"Luther Burden III 2025 Mosaic #383 Red & White Stripe","Raw","219.20","$2.74","$1.25","$3.99 (02/06/2026)","$3.96","$1.25","$5.00","-30.00","7","$27.71"
"Rome Odunze 2024 Select #136 Premier Level","Raw","219.06","$3.27","$1.50","$4.77 (02/06/2026)","$1.75","$0.99","$4.77","75.00","7","$12.22"
"Tre Johnson III 2025 Topps Silver Pack #TC-TJ 1980-81 Topps Chrome","Raw","218.65","$3.27","$1.50","$4.77 (02/04/2026)","$3.80","$0.99","$7.00","100.00","18","$68.35"
"Caleb Williams 2024 Select #216 Club Level","Raw","213.71","$3.47","$1.62","$5.09 (02/07/2026)","$2.17","$0.99","$5.50","7.14","15","$32.58"
"Bo Nix 2024 Select #30 Concourse","Raw","212.27","$4.65","$2.19","$6.84 (02/07/2026)","$2.17","$0.99","$12.00","-2.63","37","$80.29"
"Egor Demin 2025 Topps Chrome #258 Prism Refractor","Raw","211.51","$2.94","$1.39","$4.33 (02/07/2026)","$3.16","$1.39","$8.50","-30.00","7","$22.13"
"Malik Nabers 2024 Prizm #RG-MNS Rookie Gear - Neon Green Pulsar","Raw","210.08","$2.71","$1.29","$4.00 (02/06/2026)","$4.08","$1.29","$5.00","100.00","6","$24.48"
"LaMelo Ball 2020 Prizm #278 Base","Raw","209.37","$2.42","$1.16","$3.58 (02/06/2026)","$2.11","$0.73","$5.99","0.00","19","$40.05"
"Michael Irvin 1989 Topps #383 Base","Raw","209.03","$3.65","$1.75","$5.39 (02/07/2026)","$3.35","$0.99","$10.79","23.08","16","$53.59"
"LeBron James 2003 Upper Deck #LJ4 LeBron's Diary","Raw","207.86","$6.53","$3.14","$9.67 (02/06/2026)","$7.93","$3.14","$15.00","25.00","5","$39.64"
"Tyler Shough 2025 Donruss #304 Optic Preview - Holo","Raw","207.69","$16.61","$8.00","$24.60 (02/06/2026)","$19.31","$0.99","$30.00","-58.82","7","$135.19"
"Bryce Young 2023 Optic #213 Base","Raw","205.11","$2.21","$1.08","$3.29 (02/07/2026)","$1.67","$0.99","$3.57","23.08","16","$26.75"
"Shedeur Sanders 2025 Donruss #306 Press Proof Blue","Raw","203.03","$2.01","$0.99","$3.00 (02/07/2026)","$1.88","$0.99","$3.25","42.86","10","$18.78"
"Michael Jordan 1993 Skybox Premium #14 NBA on NBC","Raw","203.03","$2.01","$0.99","$3.00 (02/06/2026)","$3.34","$0.99","$9.23","-42.86","12","$40.13"
"Tom Brady 2005 Topps Chrome #46 Base","Raw","202.57","$11.05","$5.45","$16.50 (02/04/2026)","$8.17","$3.04","$16.50","-37.50","5","$40.86"
"Stephon Castle 2024 Optic #1 Express Lane - Purple","Raw","201.60","$2.52","$1.25","$3.77 (02/07/2026)","$2.76","$1.04","$6.50","-28.57","5","$13.79"
"Bijan Robinson 2023 Prizm #19 Prizmatic","Raw","201.51","$4.01","$1.99","$6.00 (02/05/2026)","$2.65","$1.00","$6.00","66.67","5","$13.24"
"Gunner Stockton 2025 Bowman Chrome University #131 Base (1st)","Raw","201.26","$2.00","$0.99","$2.99 (02/06/2026)","$1.39","$0.99","$2.99","-44.44","5","$6.96"
"Yang Hansen 2025 Topps Chrome #266 RayWave Refractor","Raw","200.93","$2.17","$1.08","$3.25 (02/07/2026)","$2.71","$0.99","$10.00","600.00","7","$18.99"
"Caleb Williams 2024 Prizm #1 Prizmatic - Green Wave","Raw","200.67","$6.00","$2.99","$8.99 (02/07/2026)","$5.17","$1.75","$8.99","-50.00","7","$36.21"
"Cam Ward 2025 Prizm #352 Base","Raw","200.35","$5.20","$2.60","$7.80 (02/07/2026)","$3.76","$0.99","$20.50","115.00","43","$161.52"
"Rome Odunze 2024 Select #136 Premier Level Silver Die-Cut","Raw","200.00","$2.50","$1.25","$3.75 (02/07/2026)","$1.65","$0.99","$3.75","0.00","5","$8.23"
"Jaxon Smith-Njigba 2023 Select Draft Picks #7 Concourse","Raw","200.00","$2.00","$1.00","$3.00 (02/07/2026)","$1.94","$0.99","$5.06","-33.33","8","$15.55"
"Noa Essengue 2025 Topps #212 Gold","Raw","200.00","$3.00","$1.50","$4.50 (02/07/2026)","$4.09","$1.50","$5.29","350.00","9","$36.79"
"Keyonte George 2023 Donruss #244 Holo Green Laser","Raw","200.00","$2.00","$1.00","$3.00 (02/07/2026)","$2.13","$1.00","$3.00","-44.44","5","$10.64"
"Travis Hunter 2025 Optic #4 Light It Up","Raw","200.00","$2.00","$1.00","$3.00 (02/07/2026)","$2.50","$1.00","$4.00","166.67","8","$20.00"
"Ayo Dosunmu 2021 Prizm #271 Ice","Raw","200.00","$4.00","$2.00","$6.00 (02/07/2026)","$3.76","$1.91","$8.00","600.00","7","$26.35"
"Jayden Daniels 2024 Select #217 Club Level","Raw","200.00","$4.00","$2.00","$6.00 (02/07/2026)","$2.00","$0.99","$6.00","-27.27","8","$15.98"
"Kel'el Ware 2024 Prizm #248 Red Ice","Raw","198.45","$2.56","$1.29","$3.85 (02/06/2026)","$2.43","$0.99","$3.99","500.00","6","$14.60"
"Matas Buzelis 2024 Optic #271 Hyper Pink","Raw","197.98","$1.96","$0.99","$2.95 (02/07/2026)","$2.46","$0.99","$6.50","100.00","8","$19.68"
"James Harden 2009 Prestige #203 Base","Raw","196.26","$3.81","$1.94","$5.75 (02/03/2026)","$4.99","$1.94","$6.99","150.00","5","$24.93"
"Jaren Jackson Jr. 2018 Prizm #66 Base","Raw","195.00","$1.95","$1.00","$2.95 (02/07/2026)","$1.94","$1.00","$2.95","400.00","5","$9.72"
"Donovan Mitchell 2017 Donruss #188 Base","Raw","194.84","$5.95","$3.05","$9.00 (02/05/2026)","$4.08","$2.00","$9.00","-15.38","11","$44.90"
"Malik Nabers 2024 Select #116 Premier Level Red & Yellow Shock","Raw","194.63","$2.90","$1.49","$4.39 (02/07/2026)","$4.16","$0.99","$11.00","400.00","5","$20.82"
"Kon Knueppel 2025 Topps #DD-34 The Daily Dribble","Raw","193.44","$10.44","$5.40","$15.84 (02/07/2026)","$7.12","$0.99","$15.84","-5.00","19","$135.26"
"Allen Iverson 1996 Skybox Premium #85 Base","Raw","192.80","$3.62","$1.88","$5.49 (02/07/2026)","$3.28","$0.99","$5.99","80.00","9","$29.48"
"Nick Emmanwori 2025 Optic #277 Base","Raw","191.20","$2.39","$1.25","$3.64 (02/06/2026)","$2.07","$1.00","$5.00","80.00","9","$18.62"
"Herb Williams 1986 Fleer #125 Base","Raw","189.10","$7.40","$3.91","$11.31 (02/07/2026)","$6.55","$3.14","$19.95","0.00","9","$58.92"
"Michael Jordan 1996 Hoops #176 The Big Finish","Raw","188.89","$4.25","$2.25","$6.50 (02/07/2026)","$6.66","$2.25","$17.50","-26.67","11","$73.28"
"Dylan Harper 2025 Topps Chrome #GR-2 Generation Rising","Raw","187.36","$3.26","$1.74","$5.00 (02/05/2026)","$2.47","$0.99","$5.00","-36.36","7","$17.26"
"Dylan Harper 2025 Topps #DD-32 The Daily Dribble","Raw","186.31","$4.49","$2.41","$6.90 (02/07/2026)","$5.64","$2.00","$17.99","0.00","10","$56.44"
