Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Jared McCain 2024 Prizm #222 Silver","Raw","1819.19","$18.01","$0.99","$19.00 (02/07/2026)","$9.50","$0.99","$20.00","8.70","25","$237.58"
"Marvin Harrison Jr. 2024 Optic #276 Base","Raw","1204.35","$16.62","$1.38","$18.00 (02/07/2026)","$4.19","$0.99","$18.00","75.00","7","$29.32"
"Karl Malone 1991 Fleer #5 Pro-Visions","Raw","1161.62","$11.50","$0.99","$12.49 (02/06/2026)","$5.77","$0.99","$14.99","150.00","5","$28.85"
"Travis Hunter 2025 Mosaic #279 Rookie Variation","Raw","1112.12","$13.76","$1.24","$15.00 (02/07/2026)","$2.92","$0.99","$15.00","-47.37","10","$29.18"
"Tim Duncan 1997 Metal Universe Championship #72 Base","Raw","1100.00","$19.25","$1.75","$21.00 (02/06/2026)","$5.18","$0.99","$21.00","700.00","8","$41.43"
"Matas Buzelis 2024 Optic #271 Holo","Raw","1061.62","$10.51","$0.99","$11.50 (02/07/2026)","$5.00","$0.99","$11.50","-33.33","6","$29.97"
"Shedeur Sanders 2025 Phoenix #154 Base","Raw","985.86","$9.76","$0.99","$10.75 (02/07/2026)","$2.72","$0.99","$20.00","12.50","18","$48.94"
"Michael Penix Jr. 2024 Donruss #7 Rated Rookies Retro","Raw","975.00","$19.50","$2.00","$21.50 (02/06/2026)","$4.79","$0.99","$21.50","-25.00","6","$28.72"
"Trevor Lawrence 2021 Donruss #251 Base","Raw","942.98","$14.92","$1.58","$16.50 (02/07/2026)","$5.09","$0.99","$17.50","71.43","12","$61.09"
"Tre Johnson III 2025 Topps Chrome #INS-16 Instinct","Raw","910.10","$9.01","$0.99","$10.00 (02/07/2026)","$2.28","$0.99","$10.00","-41.67","7","$15.95"
"Walter Clayton Jr. 2025 Topps #FF-WC Franchise Fabrics","Raw","859.60","$8.51","$0.99","$9.50 (02/07/2026)","$5.25","$0.99","$9.50","20.00","6","$31.48"
"Tetairoa McMillan 2025 Rookies & Stars #9 Rookie Rush","Raw","838.00","$8.38","$1.00","$9.38 (02/07/2026)","$2.87","$0.99","$9.38","25.00","5","$14.37"
"Magic Johnson 1981 Topps #109 Super Action (West)","Raw","764.12","$20.02","$2.62","$22.64 (02/06/2026)","$10.08","$0.99","$22.64","66.67","5","$50.38"
"Drew Brees 2015 Prizm #9 Silver","Raw","732.32","$7.25","$0.99","$8.24 (02/04/2026)","$6.79","$0.99","$9.99","0.00","5","$33.95"
"Caleb Williams 2024 Mosaic #18 Notoriety","Raw","697.27","$13.12","$1.88","$15.00 (02/06/2026)","$4.32","$0.99","$15.00","-42.86","12","$51.83"
"Larry Bird 1989 Fleer #10 Stickers","Raw","665.50","$8.59","$1.29","$9.88 (02/07/2026)","$3.73","$0.99","$17.50","66.67","10","$37.30"
"Isaiah Collier 2024 Prizm #227 Silver","Raw","664.65","$6.58","$0.99","$7.57 (02/07/2026)","$4.67","$0.99","$9.00","4000.00","41","$191.37"
"Drake Maye 2024 Select #15 Neon Icons","Raw","657.67","$6.58","$1.00","$7.58 (02/05/2026)","$7.52","$1.00","$19.50","11.11","10","$75.20"
"Gunner Stockton 2025 Bowman Chrome University #131 Refractor (1st)","Raw","657.58","$6.51","$0.99","$7.50 (02/06/2026)","$3.96","$0.99","$12.75","75.00","7","$27.73"
"Bo Jackson 1990 Fleer #256 Base","Raw","653.77","$13.01","$1.99","$15.00 (02/06/2026)","$4.14","$1.02","$15.00","-16.67","5","$20.71"
"Cooper DeJean 2024 Prizm #321 Silver","Raw","607.73","$15.46","$2.54","$18.00 (02/07/2026)","$5.35","$1.15","$18.00","-20.00","8","$42.81"
"Amon-Ra St. Brown 2021 Illusions #86 Base","Raw","572.73","$5.67","$0.99","$6.66 (02/06/2026)","$4.59","$0.99","$17.97","400.00","5","$22.96"
"Tyrese Maxey 2020 Illusions #162 Base","Raw","571.14","$8.51","$1.49","$10.00 (02/07/2026)","$2.27","$0.99","$10.00","0.00","11","$25.00"
"Brandon Miller 2023 Select #80 Concourse Silver","Raw","561.54","$18.25","$3.25","$21.50 (02/06/2026)","$6.20","$1.00","$21.50","150.00","5","$31.02"
"CJ Stroud 2023 Prizm #6 Prizmatic - Green","Raw","556.53","$9.79","$1.76","$11.55 (02/05/2026)","$5.82","$1.76","$20.00","0.00","5","$29.12"
"David Robinson 1991 Fleer #1 Pro-Visions","Raw","556.06","$11.01","$1.98","$12.99 (02/06/2026)","$4.44","$1.26","$12.99","-28.57","5","$22.21"
"Jeremiah Fears 2025 Topps Chrome #INS-17 Instinct - Refractor","Raw","555.00","$5.55","$1.00","$6.55 (02/07/2026)","$2.25","$0.99","$6.55","-25.00","6","$13.53"
"Bijan Robinson 2023 Select #180 Premier Level Silver Die-Cut","Raw","533.26","$16.83","$3.16","$19.99 (02/03/2026)","$6.59","$0.99","$19.99","400.00","5","$32.95"
"Jaxon Smith-Njigba 2023 Illusions #21 Operation Detonation","Raw","500.00","$7.50","$1.50","$9.00 (02/07/2026)","$3.17","$0.99","$9.00","-50.00","6","$18.99"
"Michael Jordan 1993 Upper Deck Special Edition #MJR1 Retirement","Raw","485.28","$14.51","$2.99","$17.50 (02/06/2026)","$8.79","$2.08","$18.00","150.00","5","$43.93"
"Anthony Davis 2025 Topps Chrome #96 Image Variation","Raw","480.91","$5.79","$1.21","$7.00 (02/06/2026)","$3.18","$1.05","$7.00","100.00","6","$19.06"
"Walter Clayton Jr. 2025 Topps Chrome #PX-29 Paradox","Raw","476.92","$15.50","$3.25","$18.75 (02/07/2026)","$17.03","$3.25","$26.99","-12.50","7","$119.21"
"Tetairoa McMillan 2025 Phoenix #155 Silver","Raw","466.04","$12.35","$2.65","$15.00 (02/06/2026)","$4.53","$0.99","$15.00","150.00","5","$22.67"
"Walter Payton 1980 Topps #160 Base","Raw","460.94","$4.56","$0.99","$5.55 (02/06/2026)","$6.07","$0.99","$18.50","16.67","14","$84.92"
"LaMelo Ball 2020 Optic #153 Base","Raw","448.89","$6.54","$1.46","$8.00 (02/07/2026)","$1.79","$0.99","$8.00","120.00","22","$39.37"
"Tyrese Maxey 2020 Donruss #211 Base","Raw","439.57","$6.11","$1.39","$7.50 (02/07/2026)","$1.98","$0.99","$7.50","57.14","11","$21.81"
"GG Jackson II 2023 Prizm #179 Silver","Raw","429.23","$6.97","$1.63","$8.60 (02/06/2026)","$7.10","$1.25","$10.00","333.33","13","$92.32"
"Caleb Williams 2022 Bowman Chrome University #52BF-4 1952 Bowman","Raw","427.73","$11.75","$2.75","$14.50 (02/06/2026)","$7.21","$1.99","$15.00","75.00","7","$50.48"
"Luther Burden III 2025 Optic #275 Purple Shock","Raw","427.00","$5.34","$1.25","$6.59 (02/07/2026)","$4.16","$1.25","$9.50","62.50","13","$54.09"
"Michael Jordan 1992 Upper Deck #62 Scoring Threats (w/S. Pippen)","Raw","425.56","$5.66","$1.33","$6.99 (02/06/2026)","$3.10","$0.99","$17.50","50.00","15","$46.53"
"Emeka Egbuka 2025 Phoenix #225 Base","Raw","424.48","$8.09","$1.91","$10.00 (02/07/2026)","$5.28","$1.01","$11.00","-11.11","8","$42.21"
"Ashton Jeanty 2025 Prizm #7 Prizmatic","Raw","423.36","$6.46","$1.53","$7.99 (02/06/2026)","$2.97","$0.99","$7.99","125.00","9","$26.71"
"Walter Payton 1987 Topps #46 Base","Raw","412.87","$12.11","$2.93","$15.04 (02/07/2026)","$3.63","$0.99","$15.04","-26.09","17","$61.70"
"Tim Duncan 1997 Topps Finest #101 Bronze","Raw","406.25","$16.25","$4.00","$20.25 (02/05/2026)","$9.65","$4.00","$20.25","-16.67","5","$48.24"
"Jared McCain 2024 Prizm #222 Green","Raw","405.05","$4.01","$0.99","$5.00 (02/06/2026)","$2.78","$0.99","$5.00","150.00","5","$13.92"
"Michael Penix Jr. 2024 Select #80 Concourse Silver Die-Cut","Raw","402.65","$7.61","$1.89","$9.50 (02/07/2026)","$3.18","$0.99","$9.50","150.00","5","$15.88"
"Keyonte George 2023 Prizm #127 Green","Raw","402.02","$3.98","$0.99","$4.97 (02/07/2026)","$5.67","$0.99","$15.50","25.00","10","$56.71"
"Michael Jordan 1997 Hoops #1 League Leaders (Scoring)","Raw","395.00","$3.95","$1.00","$4.95 (02/07/2026)","$3.15","$1.00","$4.95","20.00","6","$18.93"
"Allen Iverson 1996 Fleer Ultra #82 Base","Raw","392.42","$3.88","$0.99","$4.88 (02/07/2026)","$6.66","$0.99","$21.99","9.09","12","$79.98"
"Michael Penix Jr. 2024 Prizm #378 Green Wave","Raw","379.81","$3.95","$1.04","$4.99 (02/06/2026)","$2.88","$0.99","$4.99","500.00","6","$17.26"
"Jaylen Brown 2016 Threads #176 Base","Raw","379.29","$3.75","$0.99","$4.75 (02/07/2026)","$3.75","$0.99","$8.24","0.00","5","$18.73"
